ID;Name;Date;High;Close;Low
15055;OMXS30;1986-09-30;;125.0;
15055;OMXS30;1986-10-01;;125.927;
15055;OMXS30;1986-10-02;;126.245;
15055;OMXS30;1986-10-03;;126.685;
15055;OMXS30;1986-10-06;;128.155;
15055;OMXS30;1986-10-07;;129.845;
15055;OMXS30;1986-10-08;;130.897;
15055;OMXS30;1986-10-09;;130.65;
15055;OMXS30;1986-10-10;;129.325;
15055;OMXS30;1986-10-13;;127.88;
15055;OMXS30;1986-10-14;;129.085;
15055;OMXS30;1986-10-15;;127.58;
15055;OMXS30;1986-10-16;;127.688;
15055;OMXS30;1986-10-17;;128.762;
15055;OMXS30;1986-10-20;;128.655;
15055;OMXS30;1986-10-21;;127.435;
15055;OMXS30;1986-10-22;;127.93;
15055;OMXS30;1986-10-23;;129.505;
15055;OMXS30;1986-10-24;;130.832;
15055;OMXS30;1986-10-27;;130.24;
15055;OMXS30;1986-10-28;;131.735;
15055;OMXS30;1986-10-29;;130.99;
15055;OMXS30;1986-10-30;;132.9;
15055;OMXS30;1986-10-31;;134.54;
15055;OMXS30;1986-11-03;;135.03;
15055;OMXS30;1986-11-04;;136.297;
15055;OMXS30;1986-11-05;;136.147;
15055;OMXS30;1986-11-06;;136.665;
15055;OMXS30;1986-11-07;;137.512;
15055;OMXS30;1986-11-10;;137.172;
15055;OMXS30;1986-11-11;;135.977;
15055;OMXS30;1986-11-12;;137.115;
15055;OMXS30;1986-11-13;;136.3;
15055;OMXS30;1986-11-14;;135.075;
15055;OMXS30;1986-11-17;;131.735;
15055;OMXS30;1986-11-18;;131.155;
15055;OMXS30;1986-11-19;;132.042;
15055;OMXS30;1986-11-20;;132.362;
15055;OMXS30;1986-11-21;;129.812;
15055;OMXS30;1986-11-24;;128.73;
15055;OMXS30;1986-11-25;;128.21;
15055;OMXS30;1986-11-26;;129.125;
15055;OMXS30;1986-11-27;;129.595;
15055;OMXS30;1986-11-28;;128.0;
15055;OMXS30;1986-12-01;;125.232;
15055;OMXS30;1986-12-02;;124.947;
15055;OMXS30;1986-12-03;;127.46;
15055;OMXS30;1986-12-04;;126.45;
15055;OMXS30;1986-12-05;;125.282;
15055;OMXS30;1986-12-08;;123.4;
15055;OMXS30;1986-12-09;;123.84;
15055;OMXS30;1986-12-10;;123.21;
15055;OMXS30;1986-12-11;;125.3;
15055;OMXS30;1986-12-12;;127.255;
15055;OMXS30;1986-12-15;;125.48;
15055;OMXS30;1986-12-16;;124.987;
15055;OMXS30;1986-12-17;;125.577;
15055;OMXS30;1986-12-18;125.622;125.622;124.995
15055;OMXS30;1986-12-19;126.225;126.225;125.575
15055;OMXS30;1986-12-22;125.982;125.495;125.432
15055;OMXS30;1986-12-23;125.3;125.007;124.785
15055;OMXS30;1986-12-29;125.242;125.005;124.822
15055;OMXS30;1986-12-30;126.177;126.177;125.155
15055;OMXS30;1987-01-02;126.93;127.18;126.462
15055;OMXS30;1987-01-05;128.08;127.992;127.09
15055;OMXS30;1987-01-07;128.232;126.015;126.015
15055;OMXS30;1987-01-08;125.887;123.795;123.307
15055;OMXS30;1987-01-09;123.472;120.857;120.727
15055;OMXS30;1987-01-12;120.465;117.012;117.012
15055;OMXS30;1987-01-13;117.587;114.05;114.05
15055;OMXS30;1987-01-14;113.617;110.237;109.225
15055;OMXS30;1987-01-15;115.075;114.98;111.472
15055;OMXS30;1987-01-16;114.915;113.35;113.35
15055;OMXS30;1987-01-19;114.982;114.982;113.615
15055;OMXS30;1987-01-20;116.94;116.67;115.525
15055;OMXS30;1987-01-21;116.827;116.387;116.287
15055;OMXS30;1987-01-22;115.435;113.1;113.1
15055;OMXS30;1987-01-23;113.87;113.647;113.412
15055;OMXS30;1987-01-26;113.65;112.287;112.247
15055;OMXS30;1987-01-27;111.852;109.915;108.872
15055;OMXS30;1987-01-28;109.825;107.522;107.522
